model,train set images,pretrained,trained layers,accuracy,iou,recall,precision,f1-score,cohen kappa
xception,"(4174, 4174.2)",True,False,0.9793388429752066,0.9601215796922867,0.9793388429752066,0.9804868166412394,0.9793867350124077,0.9724517906336088
xception,"(6261, 62613.0)",False,False,0.9989669421487604,0.9979381355643983,0.9989669421487604,0.9989711934156379,0.998966937738789,0.9986225895316805
xception,"(6261, 62613.0)",True,True,0.2572314049586777,0.08766030681069015,0.2572314049586777,0.3305914114570151,0.148417354465376,0.009641873278236957
xception,"(6261, 62613.0)",True,False,0.9958677685950413,0.9917862400546383,0.9958677685950413,0.9959014311118639,0.9958719672138118,0.9944903581267217
xception,"(7514, 75135.6)",False,False,0.9958677685950413,0.9918027279446348,0.9958677685950413,0.9959349593495934,0.9958739697691944,0.9944903581267217
xception,"(7514, 75135.6)",True,True,0.24380165289256198,0.07530798754573546,0.24380165289256198,0.2982663796123845,0.12642007463770574,-0.008264462809917328
xception,"(7514, 75135.6)",True,False,0.9958677685950413,0.9918027279446348,0.9958677685950413,0.9959349593495934,0.9958674863387978,0.9944903581267217
xception,"(8348, 83484.0)",False,False,0.9958677685950413,0.9918027279446348,0.9958677685950413,0.9959349593495934,0.9958674863387978,0.9944903581267217
xception,"(8348, 83484.0)",True,True,0.253099173553719,0.0764345085015645,0.253099173553719,0.21115845731619237,0.12675579005107623,0.004132231404958664
xception,"(8348, 83484.0)",True,False,0.9989669421487604,0.9979381355643983,0.9989669421487604,0.9989711934156379,0.998966937738789,0.9986225895316805
xception,"(20871, 20871.0)",False,False,0.993801652892562,0.9877532657957878,0.993801652892562,0.9939516129032258,0.9938115738262264,0.9917355371900827
xception,"(20871, 20871.0)",True,True,0.2603305785123967,0.08925518933617754,0.2603305785123967,0.17036991991617395,0.1489144805755543,0.01377410468319562
xception,"(20871, 20871.0)",True,False,0.9907024793388429,0.9817034316226235,0.9907024793388429,0.9909406779661017,0.9907156622438129,0.987603305785124
xception,"(33394, 33393.6)",False,False,0.9886363636363636,0.9776562897029114,0.9886363636363636,0.9887277253569299,0.9886463924173986,0.9848484848484849
xception,"(33394, 33393.6)",True,True,0.2675619834710744,0.107433422129627,0.2675619834710744,0.3451037500024166,0.18241361488104985,0.023415977961432466
xception,"(33394, 33393.6)",True,False,0.9917355371900827,0.9837041257571864,0.9917355371900827,0.9919170352295257,0.9917472038500694,0.9889807162534435
xception,"(41742, 41742.0)",False,False,0.993801652892562,0.9877532657957878,0.993801652892562,0.9939516129032258,0.9938180977785306,0.9917355371900827
xception,"(41742, 41742.0)",True,True,0.2510330578512397,0.0761081970271297,0.2510330578512397,0.1658714760848907,0.12641620795809083,0.0013774104683195176
xception,"(41742, 41742.0)",True,False,0.9886363636363636,0.9776899103582269,0.9886363636363636,0.9889034810126582,0.9886729673702168,0.9848484848484849
xception,"(50090, 50090.4)",False,False,0.9958677685950413,0.9918027279446348,0.9958677685950413,0.9959349593495934,0.9958674863387978,0.9944903581267217
xception,"(50090, 50090.4)",True,True,0.2603305785123967,0.08980574957743086,0.2603305785123967,0.3017605488114218,0.15246772709374457,0.01377410468319562
xception,"(50090, 50090.4)",True,False,0.9917355371900827,0.9837041257571864,0.9917355371900827,0.9919170352295257,0.9917472038500694,0.9889807162534435
xception,"(62613, 62613.0)",False,False,0.9989669421487604,0.9979381355643983,0.9989669421487604,0.9989711934156379,0.998966937738789,0.9986225895316805
xception,"(62613, 62613.0)",True,True,0.2572314049586777,0.08766030681069015,0.2572314049586777,0.3305914114570151,0.148417354465376,0.009641873278236957
xception,"(62613, 62613.0)",True,False,0.9958677685950413,0.9917862400546383,0.9958677685950413,0.9959014311118639,0.9958719672138118,0.9944903581267217
xception,"(75136, 75135.6)",False,False,0.9958677685950413,0.9918027279446348,0.9958677685950413,0.9959349593495934,0.9958739697691944,0.9944903581267217
xception,"(75136, 75135.6)",True,True,0.24380165289256198,0.07530798754573546,0.24380165289256198,0.2982663796123845,0.12642007463770574,-0.008264462809917328
xception,"(75136, 75135.6)",True,False,0.9958677685950413,0.9918027279446348,0.9958677685950413,0.9959349593495934,0.9958674863387978,0.9944903581267217
xception,"(83484, 83484.0)",False,False,0.9979338842975206,0.9958847039696519,0.9979338842975206,0.9979508196721312,0.9979338490172975,0.9972451790633609
xception,"(83484, 83484.0)",True,True,0.253099173553719,0.0764345085015645,0.253099173553719,0.21115845731619237,0.12675579005107623,0.004132231404958664
xception,"(83484, 83484.0)",True,False,0.9989669421487604,0.9979381355643983,0.9989669421487604,0.9989711934156379,0.998966937738789,0.9986225895316805
octnet,"(835, 834.84)",False,False,0.5878099173553719,0.37959769792140546,0.5878099173553719,0.6456179167756434,0.511323131121555,0.4504132231404959
octnet,"(835, 834.84)",True,True,0.3243801652892562,0.13908621849996258,0.3243801652892562,0.16411774876804702,0.21735347985347986,0.09917355371900827
octnet,"(835, 834.84)",True,False,0.5619834710743802,0.3426817543421552,0.5619834710743802,0.6016558671415215,0.4701736523095429,0.41597796143250687
octnet,"(2087, 2087.1)",False,False,0.7004132231404959,0.5240217062248677,0.7004132231404959,0.7600579556863145,0.6723216195608053,0.6005509641873279
octnet,"(2087, 2087.1)",True,True,0.25,0.0625,0.25,0.0625,0.1,0.0
octnet,"(2087, 2087.1)",True,False,0.6756198347107438,0.4867995115560302,0.6756198347107438,0.7343361531383653,0.6297922124451657,0.5674931129476584
octnet,"(4174, 4174.2)",False,False,0.7634297520661157,0.6134375566693911,0.7634297520661157,0.8176887768519235,0.7502578844245757,0.6845730027548209
octnet,"(4174, 4174.2)",True,True,0.246900826446281,0.10886557345121159,0.246900826446281,0.17578003921623056,0.18558349968172907,-0.004132231404958775
octnet,"(4174, 4174.2)",True,False,0.75,0.5891829454688454,0.75,0.7800552720911537,0.7335146957609217,0.6666666666666667
